airfoil,alpha,CL,CD,CM,L_D_ratio,max_thickness,thickness_loc,max_camber,camber_loc,le_radius,te_angle,chord
a18sm,-5,-0.3367,0.06194,-0.0447,-5.435905715208266,0.07283,0.2712,0.03842,0.49265,0.03967853275281971,10.009258905916692,1.0
a18sm,0,0.3228,0.01761,-0.0964,18.330494037478704,0.07283,0.2712,0.03842,0.49265,0.03967853275281971,10.009258905916692,1.0
a18sm,5,1.0224,0.01588,-0.1128,64.38287153652394,0.07283,0.2712,0.03842,0.49265,0.03967853275281971,10.009258905916692,1.0
a18sm,10,1.2975,0.07015,-0.0668,18.49607982893799,0.07283,0.2712,0.03842,0.49265,0.03967853275281971,10.009258905916692,1.0
ag03,-5,-0.3871,0.05236,-0.0302,-7.3930481283422465,0.062456,0.256511,0.020211,0.318857,0.04324980438250029,6.9456275654776585,0.999997
ag03,0,0.1281,0.01102,-0.0249,11.624319419237748,0.062456,0.256511,0.020211,0.318857,0.04324980438250029,6.9456275654776585,0.999997
ag03,5,0.7367,0.016,-0.028,46.04375,0.062456,0.256511,0.020211,0.318857,0.04324980438250029,6.9456275654776585,0.999997
ag03,10,1.0699,0.06359,-0.0109,16.82497247994968,0.062456,0.256511,0.020211,0.318857,0.04324980438250029,6.9456275654776585,0.999997
ag04,-5,-0.3884,0.03649,-0.0374,-10.64401205809811,0.064407,0.218852,0.017455000000000002,0.393636,0.04274213945700597,6.011026304512671,0.999983
ag04,0,0.1263,0.01055,-0.0282,11.971563981042653,0.064407,0.218852,0.017455000000000002,0.393636,0.04274213945700597,6.011026304512671,0.999983
ag04,5,0.7229,0.01618,-0.0292,44.678615574783684,0.064407,0.218852,0.017455000000000002,0.393636,0.04274213945700597,6.011026304512671,0.999983
ag04,10,0.9977,0.07557,-0.0162,13.202328966521106,0.064407,0.218852,0.017455000000000002,0.393636,0.04274213945700597,6.011026304512671,0.999983
ag08,-5,-0.4056,0.05071,-0.029,-7.9984224018931185,0.058536000000000005,0.203932,0.017961500000000002,0.394921,0.039840167476300696,5.835887024157179,1.0
ag08,0,0.135,0.01031,-0.0298,13.09408341416101,0.058536000000000005,0.203932,0.017961500000000002,0.394921,0.039840167476300696,5.835887024157179,1.0
ag08,5,0.7258,0.01644,-0.0307,44.148418491484186,0.058536000000000005,0.203932,0.017961500000000002,0.394921,0.039840167476300696,5.835887024157179,1.0
ag08,10,0.8325,0.09215,-0.0285,9.034183396635921,0.058536000000000005,0.203932,0.017961500000000002,0.394921,0.039840167476300696,5.835887024157179,1.0
ag09,-5,-0.4146,0.055,-0.0207,-7.538181818181819,0.049048999999999995,0.17189,0.018543,0.332344,0.04216370864865479,4.605041655119468,0.999988
ag09,0,0.1413,0.0099,-0.0276,14.272727272727272,0.049048999999999995,0.17189,0.018543,0.332344,0.04216370864865479,4.605041655119468,0.999988
ag09,5,0.7125,0.01682,-0.0251,42.3602853745541,0.049048999999999995,0.17189,0.018543,0.332344,0.04216370864865479,4.605041655119468,0.999988
ag09,10,0.7462,1.01487,-0.0256,0.7352665858681408,0.049048999999999995,0.17189,0.018543,0.332344,0.04216370864865479,4.605041655119468,0.999988
ag10,-5,-0.4345,0.05691,-0.0161,-7.634862062906343,0.047727000000000006,0.159986,0.0170475,0.333403,0.04238856871735669,4.22692877612427,1.000019
ag10,0,0.1334,0.00985,-0.0255,13.543147208121827,0.047727000000000006,0.159986,0.0170475,0.333403,0.04238856871735669,4.22692877612427,1.000019
ag10,5,0.6972,0.01784,-0.0217,39.08071748878923,0.047727000000000006,0.159986,0.0170475,0.333403,0.04238856871735669,4.22692877612427,1.000019
ag10,10,0.905,0.12355,-0.048,7.324969647915824,0.047727000000000006,0.159986,0.0170475,0.333403,0.04238856871735669,4.22692877612427,1.000019
ag11,-5,-0.367,0.05709,-0.027,-6.428446312839376,0.058169,0.260032,0.022859,0.297238,0.04679329048833645,6.404319860473759,0.9999770000000001
ag11,0,0.1551,0.01097,-0.0268,14.138559708295348,0.058169,0.260032,0.022859,0.297238,0.04679329048833645,6.404319860473759,0.9999770000000001
ag11,5,0.7549,0.01663,-0.0282,45.39386650631389,0.058169,0.260032,0.022859,0.297238,0.04679329048833645,6.404319860473759,0.9999770000000001
ag11,10,1.1308,0.06162,-0.0153,18.351184680298605,0.058169,0.260032,0.022859,0.297238,0.04679329048833645,6.404319860473759,0.9999770000000001
ag12,-5,-0.6547,0.07131,0.1201,-9.181040527275277,0.062435000000000004,0.208004,0.018472000000000002,0.428143,0.03851003232521539,4.122207654415873,1.0
ag12,0,0.1601,0.01019,-0.0375,15.711481844946025,0.062435000000000004,0.208004,0.018472000000000002,0.428143,0.03851003232521539,4.122207654415873,1.0
ag12,5,0.7527,0.01628,-0.0381,46.23464373464374,0.062435000000000004,0.208004,0.018472000000000002,0.428143,0.03851003232521539,4.122207654415873,1.0
ag12,10,1.83,4.56609,-0.3268,0.40078053652030515,0.062435000000000004,0.208004,0.018472000000000002,0.428143,0.03851003232521539,4.122207654415873,1.0
ag13,-5,-0.3879,0.05285,-0.0311,-7.339640491958373,0.058441,0.212982,0.019726,0.418228,0.04152301460238017,4.0060837353336245,1.0
ag13,0,0.1731,0.01013,-0.0397,17.08785784797631,0.058441,0.212982,0.019726,0.418228,0.04152301460238017,4.0060837353336245,1.0
ag13,5,0.7624,0.01646,-0.0399,46.318347509113,0.058441,0.212982,0.019726,0.418228,0.04152301460238017,4.0060837353336245,1.0
ag13,10,2.3263,0.00619,-0.5027,375.8158319870759,0.058441,0.212982,0.019726,0.418228,0.04152301460238017,4.0060837353336245,1.0
ag14,-5,-0.3794,0.05519,-0.0303,-6.874433774234463,0.053817,0.201855,0.0210175,0.406427,0.04274343861726051,3.8521930324482567,0.999999
ag14,0,0.1853,0.01002,-0.0409,18.493013972055888,0.053817,0.201855,0.0210175,0.406427,0.04274343861726051,3.8521930324482567,0.999999
