airfoil,max_thickness,max_camber,best_ld,best_ld_alpha,max_cl,max_cl_alpha,min_cd,min_cd_alpha
as5048,0.17937,0.01572,38.086486486486486,10,1.0569,10,0.02775,10
atr72sm,0.14556,0.028295000000000004,33.01487862176977,5,0.8432,5,0.01782,0
august160,0.16038000000000002,0.05387000000000001,20.76803723816912,0,0.5515,10,0.02578,0
avistar,0.145219,0.021892,43.232804232804234,5,0.9708,10,0.0189,5
bacnlf,0.101496,0.0153585,30.880350194552534,5,0.6349,5,0.01696,0
be50sm,0.07316,0.039565,58.29084588644264,5,1.3718,10,0.01552,0
bw3,0.050184,0.057934,52.24470588235294,5,1.1102,5,0.02125,5
ch10sm,0.12837,0.10204,10.311139428692789,5,1.2462,10,0.09417,5
clarkysm,0.11724000000000001,0.03555,51.93922651933701,5,1.2557,10,0.0181,5
cr001sm,0.07332999999999999,0.040584999999999996,64.01634192331866,5,1.3357,10,0.01591,5
davissm,0.058739999999999994,0.059074999999999996,65.4745308310992,5,1.6985,10,0.01865,5
du84132v,0.1363,0.030525000000000004,48.86130599028602,5,1.2655,10,0.01853,5
hor12,0.118614,0.0385215,49.64882943143812,10,1.4845,10,0.01769,0
hor20,0.20252399999999998,0.0318085,32.88048780487805,10,1.3481,10,0.02748,0
hs1404,0.04022,0.030150000000000003,35.56188925081433,5,2.5218,10,0.00856,0
hs1430,0.29996,0.02942,26.290733197556005,5,1.0327,5,0.03661,0
hs1606,0.06014,0.042435,68.46945337620579,5,1.0647,5,0.01555,5
hs1620,0.20016,0.040995000000000004,43.60102520290474,5,1.4443,10,0.02341,5
hs1708,0.07916000000000001,0.048705,59.66110531803963,5,1.4654,10,0.01918,5
hs1712,0.11976,0.047755,60.72580645161291,5,1.5667,10,0.01984,5
jx-gs-04,0.0690491,0.014740850000000002,41.73589584624923,5,1.0079,10,0.0106,0
jx-gs-06,0.0710472,0.0146071,43.161533626649906,5,0.9993,10,0.01112,0
jx-gs-10,0.0741454,0.014658199999999998,45.54319371727748,5,0.9539,10,0.01193,0
jx-gs-15,0.0760681,0.014549199999999998,46.432786885245896,5,0.9593,10,0.01249,0
s102b,0.1497,0.019139999999999997,33.853511888494126,10,1.2387,10,0.02321,5
s102s,0.1497,0.019139999999999997,33.78103837471784,10,1.1972,10,0.02433,5
tsagi_r3a,0.120757,0.034812499999999996,31.657523510971785,5,0.8079,5,0.01618,0
w1011,0.11000599999999999,3.6499999999999966e-05,33.29268292682927,5,1.0057,10,0.01332,0
w1015,0.149952,5.000000000005e-07,34.57519788918206,5,1.0413,10,0.01656,0
