rLE,Xup,Yup,Xlo,Ylo,cl,cd,cm,cl_cd,alpha,status
0.01,0.18884239,0.0825,0.5000011,-0.01,2354067800000000.0,-394482180000000.0,-428397500000000.0,0.0,5.0,1
0.01,0.18884239,0.155,0.1,-0.3,-1.0101123,0.19078417,-0.13119625,-5.294529,5.0,1
0.01,0.18884239,0.155,0.1,-0.2275,-2.4789476,0.3590868,0.4944203,-6.903477,5.0,1
0.01,0.18884239,0.155,0.1,-0.155,-4.5004044,0.31504405,1.0062915,-14.285001,5.0,1
0.01,0.18884239,0.155,0.1,-0.0825,-4.8264217,0.51004136,1.2809272,-9.462805,5.0,1
0.01,0.18884239,0.155,0.1,-0.01,-6.048665,0.25372392,2.0735161,-23.839554,5.0,1
0.01,0.18884239,0.155,0.20000027,-0.3,0.32680118,0.054746855,0.046215385,5.969314,5.0,1
0.01,0.18884239,0.155,0.20000027,-0.2275,-0.059893794,0.25781327,-0.033226326,-0.23231463,5.0,1
0.01,0.18884239,0.155,0.20000027,-0.155,-0.41324764,0.51815164,-0.16433829,-0.7975419,5.0,1
0.01,0.18884239,0.155,0.20000027,-0.0825,-2.2315118,0.45787337,0.38582063,-4.873644,5.0,1
0.01,0.18884239,0.155,0.20000027,-0.01,-3.7548563,0.188017,1.1883811,-19.970835,5.0,1
0.01,0.18884239,0.155,0.30000052,-0.3,142.79175,-16.73121,-37.260098,0.0,5.0,1
0.01,0.18884239,0.155,0.30000052,-0.2275,106.558945,-12.696826,-27.508196,0.0,5.0,1
0.01,0.18884239,0.155,0.30000052,-0.155,60.36798,-7.7129574,-16.46197,0.0,5.0,1
0.01,0.18884239,0.155,0.30000052,-0.0825,18.072832,-2.6601748,-4.974218,0.0,5.0,1
0.01,0.18884239,0.155,0.30000052,-0.01,-5.3234096,0.30571902,1.6820095,-17.412752,5.0,1
0.01,0.18884239,0.155,0.4000008,-0.3,2985.4163,-442.12793,-671.318,0.0,5.0,1
0.01,0.18884239,0.155,0.4000008,-0.2275,2323.0054,-339.26755,-522.49646,0.0,5.0,1
0.01,0.18884239,0.155,0.4000008,-0.155,1515.7242,-226.53522,-333.5469,0.0,5.0,1
0.01,0.18884239,0.155,0.4000008,-0.0825,580.8743,-94.96138,-117.52177,0.0,5.0,1
0.01,0.18884239,0.155,0.4000008,-0.01,58.05996,-7.694687,-13.944852,0.0,5.0,1
0.01,0.18884239,0.155,0.5000011,-0.3,3.3366038e+16,-5591303300000000.0,-6072011000000000.0,0.0,5.0,1
0.01,0.18884239,0.155,0.5000011,-0.2275,2.5302576e+16,-4240071700000000.0,-4604607600000000.0,0.0,5.0,1
0.01,0.18884239,0.155,0.5000011,-0.155,1.7239118e+16,-2888839600000000.0,-3137205400000000.0,0.0,5.0,1
0.01,0.18884239,0.155,0.5000011,-0.0825,9175661000000000.0,-1537608500000000.0,-1669803000000000.0,0.0,5.0,1
0.01,0.18884239,0.155,0.5000011,-0.01,1112201100000000.0,-186376750000000.0,-202400330000000.0,0.0,5.0,1
0.01,0.18884239,0.2275,0.1,-0.3,-3.2901878,0.3230846,0.66635,-10.183673,5.0,1
0.01,0.18884239,0.2275,0.1,-0.2275,-3.5407078,0.41636068,0.6923295,-8.503943,5.0,1
0.01,0.18884239,0.2275,0.1,-0.155,-4.3103447,0.56602275,1.0576891,-7.615144,5.0,1
0.01,0.18884239,0.2275,0.1,-0.0825,-5.2546015,-0.07696211,1.6705879,0.0,5.0,1
0.01,0.18884239,0.2275,0.1,-0.01,-5.668842,0.0951421,1.8456247,-59.582897,5.0,1
0.01,0.18884239,0.2275,0.20000027,-0.3,-0.05442884,0.31924334,-0.118300155,-0.17049326,5.0,1
0.01,0.18884239,0.2275,0.20000027,-0.2275,-0.42650622,0.54602873,-0.13410154,-0.7811058,5.0,1
0.01,0.18884239,0.2275,0.20000027,-0.155,-2.1582766,0.67425334,0.37402982,-3.2009876,5.0,1
0.01,0.18884239,0.2275,0.20000027,-0.0825,-3.6794784,0.4465378,1.0221298,-8.240016,5.0,1
0.01,0.18884239,0.2275,0.20000027,-0.01,-4.588893,0.25279158,1.4720886,-18.15287,5.0,1
0.01,0.18884239,0.2275,0.30000052,-0.3,92.13878,-11.032169,-24.57775,0.0,5.0,1
0.01,0.18884239,0.2275,0.30000052,-0.2275,63.78245,-7.952977,-17.761675,0.0,5.0,1
0.01,0.18884239,0.2275,0.30000052,-0.155,30.406265,-3.9244246,-8.003166,0.0,5.0,1
0.01,0.18884239,0.2275,0.30000052,-0.0825,9.878087,-1.4634025,-2.4321165,0.0,5.0,1
0.01,0.18884239,0.2275,0.30000052,-0.01,-5.497445,0.33462292,1.7180157,-16.428776,5.0,1
0.01,0.18884239,0.2275,0.4000008,-0.3,1992.4767,-292.00717,-444.66574,0.0,5.0,1
0.01,0.18884239,0.2275,0.4000008,-0.2275,1463.1176,-218.56686,-321.82657,0.0,5.0,1
0.01,0.18884239,0.2275,0.4000008,-0.155,822.71924,-131.63646,-170.953,0.0,5.0,1
