param,min,max,mean,std
rLE,0.00506033407780554,0.01,0.008353444692601847,0.0023285808469198687
Xup,0.2629021548258579,0.281134,0.272832633147768,0.007531734981571862
Yup,0.051771946256265314,0.05669209779973441,0.05367701468533324,0.002156551607531016
YXXup,-0.5,-0.5,-0.5,0.0
Xlo,0.10402410748035847,0.16335863358633587,0.13920351460010905,0.025446646061821756
Ylo,-0.023367614120742123,-0.014771,-0.01893220470691404,0.003514904906367177
YXXlo,0.5,0.5,0.5,0.0
Xte,1.0,1.0,1.0,0.0
Yte,0.0,0.005123946257123745,0.002140681352358543,0.002175035109841184
AlphaTE,0.0,0.0,0.0,0.0
DeltaAlphaTE,0.0,0.0,0.0,0.0
