param,min,max,mean,std
rLE,0.01,0.01,0.01,0.0
Xup,0.39306369166666666,0.9,0.8747372972709042,0.10583994736712368
Yup,0.039188,0.3,0.28763278378378376,0.05216198624018087
YXXup,-0.5,-0.5,-0.5,0.0
Xlo,0.229618625,0.5000010621212122,0.4141052714518278,0.06307223001240642
Ylo,-0.0926252,-0.01,-0.03756058108108108,0.01848569974886121
YXXlo,0.5,0.5,0.5,0.0
Xte,1.0,1.0,1.0,0.0
Yte,0.0,0.0,0.0,0.0
Yte',0.0,0.0,0.0,0.0
Δyte'',0.0,0.0,0.0,0.0
