airfoil,cl,cd,cm,cl_cd
a18sm_y_up_-25pct,1.030097246170044,0.0026069171726703644,-0.1055394858121872,395.1399979136568
ag27_rLE_+10pct,1.0137284994125366,0.004887022078037262,-0.1000601202249527,207.4327644166635
ag27_x_up_-5pct,1.0259084701538086,0.005523361265659332,-0.10186505317687988,185.7398820772851
ag26_ypp_up_+25pct,0.9302629232406616,0.0050699710845947266,-0.08031845092773438,183.48485774747238
ag26_ypp_lo_+10pct,0.9198448657989502,0.005065318197011948,-0.07858214527368546,181.59665987845946
ag27_y_up_-5pct,0.9841621518135071,0.005656138062477112,-0.0924011617898941,173.99896200243955
ag27_te_wedge_-25pct,1.0166478157043457,0.0060704052448272705,-0.0985463410615921,167.47610327509094
ag27_ypp_lo_+5pct,1.026534080505371,0.00620201975107193,-0.10195930302143097,165.5160934190752
ag27_x_lo_+10pct,1.0134996175765991,0.006292685866355896,-0.09649680554866791,161.0599415100818
ag25_x_up_+10pct,0.9123259782791138,0.005687925964593887,-0.07736998796463013,160.39695030458313
ag27_x_lo_+25pct,0.9803897738456726,0.006236668676137924,-0.08892078697681427,157.1976682995419
ag26_y_lo_+25pct,0.9219516515731812,0.005932029336690903,-0.07314571738243103,155.41926704082664
ag27_y_up_-10pct,0.9573602676391602,0.006165813654661179,-0.08344810456037521,155.26908876258744
a18sm_y_up_-10pct,1.0533325672149658,0.006810542196035385,-0.10908485949039459,154.66207196075246
ag27_x_up_-10pct,0.9591273069381714,0.0062806084752082825,-0.08488769829273224,152.7124817164095
ag25_rLE_-10pct,0.8700909614562988,0.0057291798293590546,-0.06403526663780212,151.87007344359083
ag13_te_angle_+10pct,0.8574680089950562,0.005716215819120407,-0.06376001238822937,150.00623421650315
ag13_te_angle_+5pct,0.8513398766517639,0.005679074674844742,-0.06242389976978302,149.90820254974696
ag27_y_lo_-10pct,1.0141314268112183,0.007002342492341995,-0.09765386581420898,144.82745280173137
ag13_x_lo_-5pct,0.8328375220298767,0.005780775099992752,-0.05841900408267975,144.07021681762382
ag27_x_lo_-10pct,0.9904401302337646,0.0069006867706775665,-0.09541894495487213,143.52776225727965
